mp,sim,full_name,member
17961,0.9096293559,Величкович Микола,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18137,0.9072864252,Спориш Іван,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18066,0.9060925331,Бондар Михайло,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
11584,0.9051454273,Парубій Андрій,Позафракційні
NF,0.902548072,Народний Фронт,NA
18058,0.9005299054,Арешонков Володимир,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18221,0.9002191996,Драюк Сергій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15787,0.8995381958,Васюник Ігор,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18167,0.898210891,Корчик Віталій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18059,0.8967876619,Артюшенко Ігор,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
16698,0.8958361057,Бойко Олена,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18161,0.8915458372,Мельник Сергій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
17970,0.886864016,Кривенко Вадим,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15828,0.8847258752,Мельниченко Володимир,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
BPP,0.8800311509,БПП,NA
15831,0.8765236548,Федорук Микола,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15655,0.8761795695,Бурбак Максим,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18070,0.8729211704,Гаврилюк Михайло,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15309,0.8728288554,Кодола Олександр,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
17413,0.8719059064,Ледовських Олена,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15796,0.8716290548,Бриченко Ігор,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
16067,0.8705418778,Алексєєв Ігор,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
